title,titleEtc,prodYear,directorNm,actorNm,nation,company,plot,runtime,rating,genre,kmdbUrl,type,use,repRlsDate,releaseDates,isReRelease,posters,stlls,vodUrl,ratingNo,ratingGrade,modDate,regDate
 8½,"8½^8½^8과 1/2, 8과1/2, 8과 2분의 1, 8과2분의1, 8 1/2, 81/2^Federico Fellini's 8½^8½^Federico Fellini's 8½^팔과 이분의 일^8과 2분의 1^8 1/2^Otto e mezzo",1963,페데리코 펠리니,"마르첼로 마스트로얀니, 클라우디아 카르디날레, 아누크 에메, 산드라 밀로, 로셀라 포크, 바바라 스틸, 마델레인 르보, 카테리나 보라토, 에드라 게일, 귀도 알베르티","이탈리아,프랑스","Cineriz,Francinex","영화감독을 주인공으로 창작의 고뇌를 그리고 있는 펠리니의 걸작. 영화감독 귀도는 어느 날 공중에서 떨어지는 꿈을 꾼다. 정신적, 육체적으로 지쳐있던 그는 요양을 핑계로 온천에 가지만 그곳에서도 생활과 일을 벗어날 수 없다. 그는 온천에서 여생을 보내는 노인들 속에서 자신의 모습을 환상처럼 보기도 하고, 마음 속에 나타나는 창부 같은 모습의 성녀 클라우디아에게서 안식을 구하기도 한다. 현실과 환상이 점차 뒤섞이는 가운데 귀도는 소년 시절의 추억에 잠기면서 오래도록 잊고 있던 것을 생각해 낸다. 펠리니 자신이 “나의 두 번째 데뷔작 혹은 진정한 첫 번째 영화”라고 부른 작품으로, 이전에 장편영화 7편과 공동연출작 2편을 만들었기 때문에 8편 반째 영화라는 의미로 제목을  8과 1/2 이라 붙였다고 한다. 과거와 현재, 꿈과 현실, 환상과 기억이 혼재된 여러 층위를 넘나들며 예술가의 내면의 혼란과 불확실성을 독백체에 담아 표현하고 있는 작품으로, 펠리니의 영화세계와 생애가 압축적으로 드러난 한 편의 영상자서전이라 할 만하다.(서울아트시네마)",139,15세이상관람가,"드라마,판타지",https://www.kmdb.or.kr/db/kor/detail/movie/F/06045,극영화,극장용,20250723,20250723,False,http://file.koreafilm.or.kr/thm/02/99/19/05/tn_DPF031496.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/73/96/tn_DST907242.jpg,,2025-MF01675,15세이상관람가,20250704,19000101
 호프,호프^호프^Hope (Hopeu),2023,나홍진,"황정민, 조인성, 정호연, 마이클 파스벤더, 알리시아 비칸데르, 테일러 러셀, 카메론 브리튼",대한민국,㈜포지드필름스,"비무장지대에 위치한 호포항 출장소장 ‘범석’이 동네 청년들로부터 호랑이가 출현했다는 소식을 전해 듣고, 온 마을이 비상이 걸린 가운데 믿기 어려운 현실을 만나며 시작되는 이야기.",,,"액션,SF,스릴러",https://www.kmdb.or.kr/db/kor/detail/movie/K/40120,극영화,극장용,2026,2026,False,http://file.koreafilm.or.kr/thm/02/99/19/14/tn_DPK024632.jpg,,,,,20250916,20250916
 흐르는 여정,흐르는여정^흐르는 여정^흐르는여정^Journey There (Heureuneun yeojeong),2025,김진유,"김혜옥, 저스틴 H. 민, 박대호, 공민정, 김종구",대한민국,파도,먼저 세상을 떠난 남편과 함께 살던 주택을 떠나 유품인 피아노와 함께 아파트로 이사 온 ‘춘희’가 이웃 주민 ‘민준’을 만나며 새로운 가족을 이루는 마음 따뜻한 드라마,123,,드라마,https://www.kmdb.or.kr/db/kor/detail/movie/K/40107,극영화,극장용,2026,2026,False,,http://file.koreafilm.or.kr/thm/01/copy/00/75/19/tn_DST919395.jpg,,,,20250929,20250911
 100미터.,"100미터.^ひゃくえむ。^100미터., 100M, 100미터., 100 미터.^100 Meters^Hyakuemu",2025,이와이사와 켄지,"마츠자카 토리, 소메타니 쇼타, 카사마 준, 타카하시 리에, 타나카 유키, 타네자키 아츠미, 유키 아오이, 츠다 켄지로",일본,"Asmik Ace, Inc,GKIDS,Pony Canyon,Rock'n Roll Mount","“대부분의 문제는 100M를 누구보다 빠르게 달리면 다 해결돼”선천적으로 발이 빨라 달리기에서 지는 법이 없던 토가시는 현실을 잊기 위해 무작정 달렸던 전학생 코미야를 만나 제대로 달리는 법을 가르쳐 준다.누구보다 빠르게 달릴 때의 환희를 알게 된 코미야는 토가시에게 100M 경주를 신청하고 그날의 경기 이후 코미야는 토가시의 앞에서 사라진다.그리고 몇 년 후, 계속 이겨야 한다는 압박감에 시달리고 있던 토가시 앞에 일본 기록 경신을 꿈꾸는 코미야가 나타나는데…100M 전력 질주,시간은 단 십여 초.그 시간에 모든 것을 담아낸 청춘들의 이야기가 시작된다!",106,전체관람가,"드라마,스포츠",https://www.kmdb.or.kr/db/kor/detail/movie/F/64762,애니메이션,극장용,20251008,20251008,False,http://file.koreafilm.or.kr/thm/02/99/19/15/tn_DPF031940.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/75/54/tn_DST922842.jpg,,2025-MF02469,전체관람가,20250923,20250916
 잉글리쉬 내셔널 발레 '백조의 호수',"잉글리쉬내셔널발레'백조의호수'^잉글리쉬 내셔널 발레 '백조의 호수'^잉글리쉬 내셔널 발레 백조의 호수, 잉글리쉬내셔널발레백조의호수, 잉글리쉬 내셔널 발레: 백조의 호수, 잉글리쉬 내셔널 발레 `백조의 호수`, 잉글리시 내셔널 발레 `백조의 호수`, 잉글리시 내셔널 발레 '백조의 호수', 잉글리시내셔널발레백조의호수, 잉글리시 내셔널 발레 백조의 호수^Engl...",2024,피터 존스,"이상은, 개러스 호",영국,AD LIB Production,"지그프리트 왕자는 오데트 공주와 우연히 만나 사랑에 빠진다. 오데트 공주는 악마 로트바르트의 저주에 걸려 낮에는 백조의 모습으로 있어야만 한다. 오데트에게 저주를 걸어가면서까지 그녀를 탐낸 악마 로트바르트는 자신의 딸 오딜[3]을 보내 왕자를 유혹하게 했는데, 왕자는 계략에 걸려 오딜에게 사랑을 고백하고 만다. 상심한 오데트는 자살하려는데 지그프리트가 나타나 그녀를 말리며 사랑을 고백하고, 그 직후 로트바르트가 나타나 오딜과의 결혼을 강요한다. 오데트와 지그프리트는 로트바르트의 요구를 거부하고 함께 춤을 추고는 호수에 몸을 던진다. 이 순간, 둘의 사랑의 힘으로 저주가 풀리고 로트바르트는 몰락, 두 사람은 영원한 행복의 나라로 여행을 떠난다.",128,전체관람가,드라마,https://www.kmdb.or.kr/db/kor/detail/movie/B/11843,(실황)공연물,극장용,20250624,20250624,False,http://file.koreafilm.or.kr/thm/02/99/19/04/tn_DPB001836.jpg,,,2025-MF01280,전체관람가,20250623,20250605
 대한민국은 국민이 합니다,"대한민국은국민이합니다^대한민국은 국민이 합니다^우리가만든대통령국민이합니다, 우리가 만든 대통령 국민이 합니다, 우리가만든대통령 국민이합니다, 우만대, 우리가 만든 대통령, 국민이 합니다, 우리가만든대통령,국민이합니다, 대한민국은 국민이합니다, 대한민국은국민이 합니다^(Daehanmingugeun gungmini hamnida)",2025,조은성,,대한민국, 대한민국은 국민이 합니다  제작위원회,12.3 내란에 응원봉을 들고 일어선 시민들의 간절한 연대의 기록과 새로운 대한민국을 만들기 위한 치열한 선거 운동을 담은 다큐 영화,,,"사회,인물",https://www.kmdb.or.kr/db/kor/detail/movie/A/13653,다큐멘터리,극장용,20251200,20251200,False,http://file.koreafilm.or.kr/thm/02/99/19/18/tn_DPA002325.jpg,,,,,20251023,20250929
 분리수거,분리수거^분리수거^The Erase (Bullisugeo),2025,이소민,"박보경, 윤혁진, 태항호, 문경태, 박민서, 백민지, 김현빈, 주병하, 문진식, 김봉조",대한민국,㈜모그픽쳐스,"제때 정리하지 못한 가슴 속 찌꺼기마음도 분리수거가 필요해!남자친구의 배신에 충격을 받은 ‘재연’돌연, 제주도로 떠난다.과거를 숨긴 게스트하우스 주인 ‘재화’, 현실의 벽에 가로막혀 이별을 택한 ‘범주’와 원치 않는 사랑을 받고 있는 뷰티 유튜버 ‘채원’, 마지막 이별 여행을 온 연인 ‘진석’과 ‘다혜’까지여행에서 만난 각양각색의 연애담들!어쩌면 우리 모두의 이야기!",94,15세이상관람가,"드라마,멜로/로맨스",https://www.kmdb.or.kr/db/kor/detail/movie/K/39040,극영화,극장용,20250521,20250521,False,http://file.koreafilm.or.kr/thm/02/99/18/97/tn_DPK023822.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/71/19/tn_DST884870.jpg,,2025-MF00870,15세이상관람가,20250530,20250409
 극장판 도라에몽: 진구의 그림이야기,"극장판도라에몽:진구의그림이야기^극장판 도라에몽: 진구의 그림이야기^극장판도라에몽진구의그림이야기, 극장판 도라에몽 진구의 그림이야기, 극장판 도라에몽 : 진구의 그림이야기^Doraemon the Movie: Nobita's Art World Tales^Doraemon: Nobita's Art World Tales",2025,테라모토 유키요,"윤아영, 김정아, 조현정, 이현주, 최낙윤, 미즈타 와사비, 오오하라 메구미",일본,Fujiko Productions,"만약, 그림 속 세계로 들어갈 수 있다면?환상의 보석을 둘러싼 도라에몽과 친구들의 시공 초월 대모험이 지금 시작된다!수백억 원의 가치를 지닌 그림이 발견되었다는 뉴스가 보도되는 가운데, 여름방학 숙제로 ‘그림’을 그리고 있던 진구 앞에 갑자기 오래된 그림 조각 하나가 떨어진다.도라에몽과 진구는 비밀도구 ‘들어가는 라이트’를 사용해 그림 속으로 탐험을 떠나고 그곳에서 신비로운 소녀 클레어와 만나게 된다.그런데 그곳은 바로 뉴스에서 화제가 된 그림 속에 그려진 중세 유럽 ‘아트리아 공국’이었다!그곳 어딘가에는 ‘아트리아 블루’라는 환상의 보석이 숨겨져 있다고 하는데…환상의 보석의 비밀을 파헤치는 도라에몽과 친구들.하지만, ‘아트리아 공국’에 전해 내려오는 ‘세계 멸망’의 전설이 깨어나며 모두가 큰 위기에 빠진다!과연 도라에몽과 친구들은 전설을 뒤집고 세계를 구할 수 있을까?",104,전체관람가,"어드벤처,가족,판타지",https://www.kmdb.or.kr/db/kor/detail/movie/F/63698,애니메이션,극장용,20250716,20250716,False,http://file.koreafilm.or.kr/thm/02/99/19/02/tn_DPF031300.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/73/63/tn_DST904045.jpg,https://www.kmdb.or.kr/trailer/trailerPlayPop?pFileNm=MK063037_P02.mp4,2025-MF01127,전체관람가,20250616,20250605
 틴 솔저,틴솔저^틴 솔저^틴솔저^Tin Soldier,2025,브래드 퍼맨,"제이미 폭스, 로버트 드 니로, 스콧 이스트우드, 노라 아르네제더, 존 레귀자모","영국,미국","Unified Pictures,Current Entertainment,Romulus Ent"," 내가 과거를 놓지 못하는 게 아니었다.과거가 나를 놓아주지 않는 것이었다. 전쟁에서 돌아온 참전 용사들을 세뇌해 정부를 전복시키려는 사이비 집단 ‘더 프로그램’.그 중심에는 신념을 조종하는 수장 ‘보쿠시’(제이미 폭스)가 있다.정부는 이 위협을 끝내기 위해, 과거 ‘더 프로그램’에 일원이었던 전직 군인 ‘내쉬’를 찾아낸다.그 앞에 나타난 건, 내쉬의 과거까지 꿰뚫고 있는 정보국 베테랑 요원 ‘콜먼’(로버트 드니로).내쉬는 조직 깊숙한 곳에 아직 살아 있을지도 모를 아내 ‘에볼리’를 찾아, 다시 어둠 속으로 발을 들인다.망각과 진실, 신념과 조작 사이과거를 직면한 남자의 마지막 임무가 시작된다.",86,15세이상관람가,"액션,스릴러",https://www.kmdb.or.kr/db/kor/detail/movie/F/64045,극영화,극장용,20250806,20250806,False,http://file.koreafilm.or.kr/thm/02/99/19/07/tn_DPF031585.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/15/tn_DST909227.jpg,,2025-MF01909,15세이상관람가,20250724,20250627
 홈캠,"홈캠^홈 캠, Home cam^Homecam (Homkaem)",2025,오세호,"윤세아, 윤별하, 권혁, 리마 탄 비, 김소민, 오지혜, 정지수, 윤관우, 민경옥, 김종태",대한민국,㈜엠픽처스,"복직을 앞두고 낯선 곳으로 이사한 보험조사관 '성희'는 아픈 딸 '지우'를 위해 홈캠을 설치한다.회사에서 카메라를 살피던 그녀는 섬뜩한 여자가 딸과 있는 걸 보고 황급히 전화하지만, 정작 '지우'는 아무도 없다며 황당해한다.그날 이후, 여자는 홈캠에 더 자주 찍혔고 여전히 집에선 어떤 흔적도 찾을 수 없었다.하지만, 지우는 갈수록 기괴한 행동을 하는데….“거기로 악한 것이 들어왔어.”",93,15세이상관람가,공포,https://www.kmdb.or.kr/db/kor/detail/movie/K/39617,극영화,극장용,20250910,20250910,False,http://file.koreafilm.or.kr/thm/02/99/19/11/tn_DPK024494.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/75/11/tn_DST918545.jpg,https://www.kmdb.or.kr/trailer/trailerPlayPop?pFileNm=MK063377_P02.mp4,2025-MF01833,15세이상관람가,20250916,20250703
 얼굴,얼굴^얼굴^The Ugly (Eolgul),2025,연상호,"박정민, 권해효, 신현빈, 임성재, 한지현",대한민국,와우포인트,"“이 분이 저희 어머니라고요?”태어나서 아무것도 볼 수 없었던 시각장애인임에도 불구하고 세상에서 가장 아름다운 도장을 만드는 장인으로 거듭난 ‘임영규’와 그의 아들 ‘임동환’에게 경찰에게서 한 통의 전화가 걸려온다.40년 전 실종된 아내이자 어머니 ‘정영희’의 백골 사체가 발견되었다는 것.얼굴조차 몰랐던 어머니가 살해됐을 가능성도 있다는 이야기를 듣게 된 ‘임동환’은 아버지 ‘임영규’의 다큐멘터리를 촬영하던 PD ‘김수진’과 함께 어머니의 죽음을 추적하게 된다.그리고 그 과정에서 만난, 40년 전 어머니와 함께 청계천 의류 공장에서 일했던 이들의 기억을 통해 가려진 진실을 마주하게 되는데……",103,15세이상관람가,"드라마,미스터리",https://www.kmdb.or.kr/db/kor/detail/movie/K/39744,극영화,극장용,20250911,20250911,False,http://file.koreafilm.or.kr/thm/02/99/19/10/tn_DPK024452.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/30/tn_DST911058.jpg,https://www.kmdb.or.kr/trailer/trailerPlayPop?pFileNm=MK063459_P02.mp4,2025-MF01973,15세이상관람가,20250930,20250722
 여섯 명의 거짓말쟁이 대학생,"여섯명의거짓말쟁이대학생^여섯 명의 거짓말쟁이 대학생^六人の嘘つきな大学生^여섯명의 거짓말쟁이 대학생, 여섯 명의 거짓말쟁이대학생, 여섯명의 거짓말쟁이대학생^6 Lying University Students^Rokunin no Usotsuki na Daigakusei",2024,사토 유이치,"하마베 미나미, 아카소 에이지, 사노 하야토, 야마시타 미즈키, 쿠라 유키, 니시가키 쇼",일본,카도카와,"IT 회사의 채용 시험에 참여하게 된 6명의 대학생.그들에게 주어진 과제는 한 팀이 되어 한 달 안에 토론을 완성하는 것으로, 6명 모두 합격하게 될 거라는 안내를 받는다.하지만 결전의 날 직전, 단 1명만 합격하는 것으로 채용 조건이 바뀐다.한 때 친구였던 그들은 단 한자리를 놓고 경쟁하는 라이벌이 된다.각각의 어두운 비밀을 가지고 있는 그들은 그 비밀을 폭로하는 '봉투'가 하나씩 열리면서 알려지게 되는데...거짓말쟁이는 과연 누구이며, 그들이 숨기고 있는 비밀은 무엇일까?",114,12세이상관람가,"드라마,미스터리",https://www.kmdb.or.kr/db/kor/detail/movie/F/63704,극영화,극장용,20250903,20250903,False,http://file.koreafilm.or.kr/thm/02/99/19/12/tn_DPF031799.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/90/tn_DST916443.jpg,,2025-MF01364,12세이상관람가,20250820,20250609
 슬링샷,슬링샷^슬링 샷^Slingshot,2024,미카엘 하프스트롬,"캐이시 애플렉, 로렌스 피쉬번, 토머 카폰, 데이비드 모리시, 에밀리 비샴","헝가리,인도네시아,미국",,"목성의 위성, 타이탄의 자원을 찾는 임무 중인 '존', '내시', 그리고 선장 '프랭크스'.'존'은 우주에서의 오랜 동면으로 피폐해지면서, 지구에 있는 연인 '조이'를 생각한다.한편 불안 증상이 있던 '내쉬'가 임무를 거부하면서 '프랭크스'와 갈등이 쌓이고, 우주선 안의 세 남자는 점점 이성을 잃어가는데....아무도 없는 우주의 끝에는 과연 무엇이 있을까?",108,,"SF,미스터리,스릴러",https://www.kmdb.or.kr/db/kor/detail/movie/F/63603,극영화,극장용,20250500,20250500,False,,,,,,20250422,20250422
 귀멸의 칼날: 합동 강화 훈련 주집결편,"귀멸의칼날:합동강화훈련주집결편^귀멸의 칼날: 합동 강화 훈련 주집결편^귀멸의칼날합동강화훈련주집결편, 귀멸의 칼날 합동 강화 훈련 주집결편, 귀멸의 칼날 : 합동 강화 훈련 주집결편^Demon Slayer: Kimetsu no Yaiba Special Edition Hashira Training Arc Part 2",2025,소토자키 하루오,"하나에 나츠키, 키토 아카리",일본,ufotable,탄지로의 활약으로 훈련을 통해 사이가 가까워진 무이치로와 귀살대원들.탄지로는 무이치로의 훈련을 마치고 미츠리의 훈련장으로 향했다.그곳에서 받게 될 유연성 훈련은 보기보다 매우 힘든 것이었는데--.,106,15세이상관람가,"액션,판타지",https://www.kmdb.or.kr/db/kor/detail/movie/F/64240,애니메이션,극장용,20250801,20250801,False,http://file.koreafilm.or.kr/thm/02/99/19/07/tn_DPF031609.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/21/tn_DST909938.jpg,,2025-MF01810,15세이상관람가,20250717,20250717
 안경,안경^안경^Glasses (Angyeong),2025,정유미,,대한민국,매치컷㈜,자신의 내면에 존재하는 그림자와 마주하며 스스로를 받아들이는 주인공의 심리적 여정,16,전체관람가,드라마,https://www.kmdb.or.kr/db/kor/detail/movie/K/39162,애니메이션,극장용,20250611,20250611,False,http://file.koreafilm.or.kr/thm/02/99/19/01/tn_DPK024108.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/71/18/tn_DST884731.jpg,,2025-MF01176,전체관람가,20250609,20250421
 퍼스트 라이드,"퍼스트라이드^퍼스트 라이드^더 퍼스트 라이드, 더퍼스트라이드, 더 퍼스트라이드, 더퍼스트 라이드^The First Ride (Peoseuteu raideu)",2025,남대중,"강하늘, 김영광, 차은우, 강영석, 한선화, 최귀화, 윤경호, 고규필",대한민국,"주식회사 브레인샤워,티에이치스토리","“끝을 보는 놈, 해맑은 놈, 잘생긴 놈, 눈 뜨고 자는 놈, 사랑스러운 놈”10월, 뭉치면 더 웃기는 놈들의 대환장 코미디가 온다!어린 시절부터 한 몸처럼 붙어 다닌 24년 지기 사총사,태정(강하늘), 도진(김영광), 연민(차은우), 금복(강영석)의 꿈은 바로 함께 하는 여행!학창 시절에 이루지 못했던 꿈을 위해 생애 첫 해외여행을 떠나는 날,계획에 없던 옥심(한선화)까지 합류하며 이들의 여행은 점점 환장의 세계로 흘러가는데…!",116,12세이상관람가,"코메디,드라마",https://www.kmdb.or.kr/db/kor/detail/movie/K/39790,극영화,극장용,20251029,20251029,False,http://file.koreafilm.or.kr/thm/02/99/19/16/tn_DPK024720.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/75/65/tn_DST923931.jpg,,2025-MF02586,12세이상관람가,20251013,20250728
